Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance
79,Daniel,A,5-Mar-39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,1078,857.56,2078,3364.79,3078,7985,-786.93
49,Derek,Aguirre,5-May-41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,1048,1845.56,2048,3352.49,3048,8899,-58.57
18,Jafar,Aladdin,20-Jan-83,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1017,518.07,2017,2220.54,3017,3029,-406.48
76,Nathan,Aun,6-Aug-94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,1075,1352.3,2075,132.29,3075,8789,-1240.71
38,Alex,Avila,19-Oct-65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,1037,85.09,2037,516.33,3037,3484,-1827.58
80,Daniel,B,25-Dec-18,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,1079,362.4,2079,2413.6,3079,8357,-1911.51
54,Gavin,Baechle,16-Sep-58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,1053,1734.37,2053,4768.87,3053,5352,-886.85
48,David,Baptiste,5-May-98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,1047,1076.98,2047,3271.72,3047,7772,-281.86
39,Alfonso,Beltran,13-Mar-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,1038,474.39,2038,3447.36,3038,3177,-866.29
47,Dafne,Bencomo,12-Jul-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,1046,519.88,2046,1812.87,3046,8798,-1863.49
64,Laura,Blanco,7-Aug-04,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,1063,1506.74,2063,4347.22,3063,6487,-1050.73
44,Brandon,Bustamante,17-Oct-53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,1043,355.39,2043,3764.74,3043,6698,-1452.54
81,Daniel,C,25-May-47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,1080,909.74,2080,342.74,3080,9400,-505.4
45,Cesar,Cabrera,22-Jun-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,1044,1806.19,2044,1685.66,3044,9182,-1906.17
73,Roberto,Carrasco,21-Oct-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,1072,1152.39,2072,2408.91,3072,9319,-160
66,Lidice,Castro Jimenez,27-Jan-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,1065,1942.67,2065,655.67,3065,4080,-1930.17
41,Alyssandra,Cordero,30-Aug-32,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,1040,1169.49,2040,1375.06,3040,5166,-1725.64
82,Daniel,D,7-Oct-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,1081,731.6,2081,3235.49,3081,9172,-883.24
70,Minh,Dang,21-Dec-09,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,1069,623.42,2069,1691.78,3069,5351,-1966.94
22,Cruella,De Vil,10-Mar-62,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1021,1132.61,2021,4261.53,3021,7949,-319.71
71,Oscar,Decena,14-Nov-07,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,1070,1450.22,2070,529.74,3070,8674,-689.71
4,Goofy,Disney,5-Mar-51,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1003,1456.69,2003,884.26,3003,8647,-141.39
5,Pluto,Disney,20-Mar-37,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1004,1549.67,2004,1622.73,3004,5415,-1289.68
6,Chip,Disney,25-Aug-05,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1005,32.84,2005,3687.14,3005,8089,-1451.7
7,Dale,Disney,19-Aug-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1006,894.1,2006,4091.61,3006,3219,-53.21
8,Cinderella,Disney,3-Mar-47,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1007,915.54,2007,2977.94,3007,7415,-4.16
9,Ariel,Disney,15-Apr-70,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1008,1581.97,2008,729.5,3008,7822,-1810.55
10,Jasmine,Disney,17-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1009,633.94,2009,1087.1,3009,9736,-1797.38
11,Aladdin,Disney,11-Oct-28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1010,140.78,2010,3431.15,3010,7398,-1989.22
12,Simba,Disney,24-Oct-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1011,1336.79,2011,373.47,3011,4931,-1220.11
13,Mufassa,Disney,19-Jan-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1012,148.68,2012,3846.05,3012,7463,-1112.18
14,Aurora,Disney,12-Jun-60,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1013,343.45,2013,4806.74,3013,8372,-169.44
16,Woody,Disney,2-Apr-95,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1015,258.06,2015,2429.23,3015,7932,-1005.79
20,Beast,Disney,16-Aug-98,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1019,1849.03,2019,4398.81,3019,7687,-160.2
21,Belle,Disney,5-Oct-54,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1020,517.81,2020,2434.75,3020,8396,-1024.19
25,Gaston,Disney,11-Aug-09,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1024,168.24,2024,994.47,3024,3397,-1264.11
28,Kaa,Disney,22-Feb-69,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1027,928.76,2027,423.8,3027,3237,-864.26
30,Pinocchio,Disney,20-Mar-08,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1029,1280.77,2029,1412.45,3029,9149,-14.76
32,Quasimodo,Disney,17-Sep-71,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1031,483.57,2031,2302.79,3031,5023,-1454.15
33,Hercules,Disney,30-Jun-66,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1032,1270.03,2032,1388.27,3032,5094,-1855.19
34,Mulan,Disney,14-Oct-79,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1033,1774.26,2033,1216.15,3033,7881,-397.68
35,Lilo,Disney,19-Jul-44,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1034,1763.47,2034,1942.89,3034,7722,-1715.37
36,Stitch,Disney,3-Feb-28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1035,387.32,2035,4919.61,3035,8172,-16.87
2,Donald,Duck,7-Apr-94,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1001,1928.58,2001,3582.37,3001,8147,-1513.57
83,Daniel,E,17-Jun-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5046,1082,190.25,2082,3689.98,3082,7011,-269.32
31,Prince,Eric,10-Feb-05,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1030,1250.24,2030,4505,3030,7019,-1413.12
72,Robert,Evans,8-Aug-55,"500 W. University Ave, El Paso, TX 79968",(915) 747-5035,1071,1223.55,2071,2907.59,3071,5198,-329.08
84,Daniel,F,24-Mar-86,"500 W. University Ave, El Paso, TX 79968",(915) 747-5047,1083,214.25,2083,1020.81,3083,7196,-814.22
85,Daniel,G,18-Nov-77,"500 W. University Ave, El Paso, TX 79968",(915) 747-5048,1084,1930.6,2084,3788.92,3084,8439,-1101.55
50,Eduardo,Garcia,2-Jun-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5013,1049,1243.42,2049,1243.48,3049,6262,-862.06
57,Hernan,Garcia,30-Mar-42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5020,1056,135.23,2056,3011.8,3056,8216,-990.67
63,Judith,Garcia,7-Mar-97,"500 W. University Ave, El Paso, TX 79968",(915) 747-5026,1062,1740.54,2062,3508.77,3062,5693,-444.56
61,Juan,Gutierrez,9-Jan-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5024,1060,526.23,2060,3227.73,3060,9566,-1581.21
86,Daniel,H,2-May-37,"500 W. University Ave, El Paso, TX 79968",(915) 747-5049,1085,1326.34,2085,3465.11,3085,9853,-1977.56
74,Sofia,Hernandez,20-Apr-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5037,1073,1515.79,2073,740.81,3073,9291,-1721.04
27,Captaiin,Hook,12-May-01,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1026,369.27,2026,3295.28,3026,9203,-1813.88
87,Daniel,I,23-Dec-35,"500 W. University Ave, El Paso, TX 79968",(915) 747-5050,1086,1927.47,2086,2348.02,3086,7232,-1927.99
88,Daniel,J,20-Oct-43,"500 W. University Ave, El Paso, TX 79968",(915) 747-5051,1087,1924.71,2087,2813.64,3087,8702,-986.39
42,Anthony,Jasso,8-Dec-44,"500 W. University Ave, El Paso, TX 79968",(915) 747-5005,1041,661.74,2041,547.41,3041,3753,-530.31
89,Daniel,K,8-May-73,"500 W. University Ave, El Paso, TX 79968",(915) 747-5052,1088,1082.73,2088,3471.09,3088,6307,-88.26
26,Shere,Khan,21-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1025,688.77,2025,1735.62,3025,7035,-115.92
24,Simba,King,21-Dec-35,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1023,1472.05,2023,1684.46,3023,8835,-1863.46
90,Daniel,L,19-Jul-98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5053,1089,585.99,2089,180.84,3089,9320,-777.42
65,Laurence,Labayen,11-Mar-10,"500 W. University Ave, El Paso, TX 79968",(915) 747-5028,1064,1079.13,2064,4572.26,3064,5079,-1064.52
58,Isaiah,Landin,28-Feb-28,"500 W. University Ave, El Paso, TX 79968",(915) 747-5021,1057,1816.52,2057,1600.38,3057,6858,-407.11
17,Buzz,Lightyear,12-Mar-63,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1016,629.61,2016,33.53,3016,3624,-1215.99
23,Scar,Lion,29-Jul-29,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1022,941.51,2022,4326.32,3022,4563,-140.99
53,Federico,Marin,18-Jan-09,"500 W. University Ave, El Paso, TX 79968",(915) 747-5016,1052,1917.27,2052,2348.86,3052,3977,-267.18
60,Joseph,Medina - Sandoval,18-Sep-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5023,1059,903.51,2059,3790.64,3059,8612,-678.52
78,Daniel,Mejia,29-Jan-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5041,1077,1887.12,2077,2051.62,3077,7600,-1231.96
67,Manuel,Melendez Lujan,18-Mar-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5030,1066,1311.35,2066,4334.35,3066,7545,-1003.98
19,Ursela,Mermaid,30-Jun-00,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1018,1333.17,2018,1503.63,3018,6570,-1147.68
37,Alberto,Miranda,5-Oct-38,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1036,474.59,2036,3710.89,3036,3649,-150.6
